time,latitude,longitude
1701650688.4346697,nan,nan
1701650688.437482,nan,nan
1701650688.439158,nan,nan
1701650688.4420757,nan,nan
1701650688.443838,nan,nan
1701650688.451791,nan,nan
1701650688.4548607,nan,nan
1701650688.4585886,nan,nan
1701650688.459814,nan,nan
1701650688.4616327,nan,nan
1701650688.4676373,nan,nan
1701650688.4689393,nan,nan
1701650688.4703348,nan,nan
1701650688.4722416,nan,nan
1701650688.4737966,nan,nan
1701650688.4754782,nan,nan
1701650688.4774432,nan,nan
1701650688.479019,nan,nan
1701650688.4812784,nan,nan
1701650688.4879608,nan,nan
1701650688.4931622,nan,nan
1701650688.49405,nan,nan
1701650688.4957602,nan,nan
1701650688.4970963,nan,nan
1701650688.4985278,nan,nan
1701650688.5003521,nan,nan
1701650688.5017705,nan,nan
1701650688.5039618,nan,nan
1701650688.5057328,nan,nan
1701650688.5064924,nan,nan
1701650688.5079043,nan,nan
1701650688.5106814,nan,nan
1701650688.511998,nan,nan
1701650688.5222046,nan,nan
1701650688.5259523,nan,nan
1701650688.5291092,nan,nan
1701650688.5592108,nan,nan
1701650688.5592136,nan,nan
1701650688.5592148,nan,nan
1701650688.559217,nan,nan
1701650688.5592194,nan,nan
1701650688.5592217,nan,nan
1701650688.5592232,nan,nan
1701650688.5592256,nan,nan
1701650688.5592303,nan,nan
1701650688.5592334,nan,nan
1701650688.5657,nan,nan
1701650688.5657077,nan,nan
1701650688.56571,nan,nan
1701650688.5657125,nan,nan
1701650688.5732603,nan,nan
1701650688.5744643,nan,nan
1701650688.575523,nan,nan
1701650688.5767155,nan,nan
1701650688.5780249,nan,nan
1701650688.5803819,nan,nan
1701650688.5816894,nan,nan
1701650688.58331,nan,nan
1701650688.5844302,nan,nan
1701650688.586798,nan,nan
1701650688.5877604,nan,nan
1701650688.5912504,nan,nan
1701650688.5935023,nan,nan
1701650688.595806,nan,nan
1701650688.5980256,nan,nan
1701650688.600245,nan,nan
1701650688.6050935,nan,nan
1701650688.606832,nan,nan
1701650688.608055,nan,nan
1701650688.609384,nan,nan
1701650688.611329,nan,nan
1701650688.6125166,nan,nan
1701650688.614078,nan,nan
1701650688.615327,nan,nan
1701650688.6186664,nan,nan
1701650688.6195304,nan,nan
1701650688.6203191,nan,nan
1701650688.621578,nan,nan
1701650688.6227531,nan,nan
1701650688.6237378,nan,nan
1701650688.626894,nan,nan
1701650688.6300957,nan,nan
1701650688.630099,nan,nan
1701650688.6323178,nan,nan
1701650688.6341443,nan,nan
1701650688.6404717,nan,nan
1701650688.6437004,nan,nan
1701650688.644742,nan,nan
1701650688.6464105,nan,nan
1701650688.6520195,nan,nan
1701650688.6532652,nan,nan
1701650688.655003,nan,nan
1701650688.6570954,nan,nan
1701650688.6594281,nan,nan
1701650688.6609657,nan,nan
1701650688.6632335,nan,nan
1701650688.6700432,nan,nan
1701650688.6722078,nan,nan
1701650688.6790252,nan,nan
1701650688.682775,nan,nan
1701650688.6842012,nan,nan
1701650688.6852016,nan,nan
1701650688.6852047,nan,nan
1701650688.6861773,nan,nan
1701650688.6872506,nan,nan
1701650688.689632,nan,nan
1701650688.691003,nan,nan
1701650688.6924438,nan,nan
1701650688.693994,nan,nan
1701650688.695192,nan,nan
1701650688.6970282,nan,nan
1701650688.6986084,nan,nan
1701650688.699988,nan,nan
1701650688.7066224,nan,nan
1701650688.707851,nan,nan
1701650688.7085295,nan,nan
1701650688.7137978,nan,nan
1701650688.722385,nan,nan
1701650688.7223887,nan,nan
1701650688.7223907,nan,nan
1701650688.7223918,nan,nan
1701650688.7223928,nan,nan
1701650688.722394,nan,nan
1701650688.7223952,nan,nan
1701650688.7223964,nan,nan
1701650688.7243,nan,nan
1701650688.726067,nan,nan
1701650688.7276807,nan,nan
1701650688.7316036,nan,nan
1701650688.7372901,nan,nan
1701650688.7389026,nan,nan
1701650688.7402914,nan,nan
1701650688.7414424,nan,nan
1701650688.7466085,nan,nan
1701650688.747164,nan,nan
1701650688.748037,nan,nan
1701650688.7490923,nan,nan
1701650688.7502637,nan,nan
1701650688.7511742,nan,nan
1701650688.7520988,nan,nan
1701650688.7533212,nan,nan
1701650688.7566323,nan,nan
1701650688.757584,nan,nan
1701650688.7604141,nan,nan
1701650688.7616305,nan,nan
1701650688.762628,nan,nan
1701650688.7658467,nan,nan
1701650688.7704186,nan,nan
1701650688.7730927,nan,nan
1701650688.781085,nan,nan
1701650688.783266,nan,nan
1701650688.7848535,nan,nan
1701650688.7911081,nan,nan
1701650688.7911139,nan,nan
1701650688.7937949,nan,nan
1701650688.7951474,nan,nan
1701650688.7962637,nan,nan
1701650688.7977235,nan,nan
1701650688.8004575,nan,nan
1701650688.8021073,nan,nan
1701650688.8034315,nan,nan
1701650688.8047087,nan,nan
1701650688.808873,nan,nan
1701650688.8118496,nan,nan
1701650688.8127885,nan,nan
1701650688.8137312,nan,nan
1701650688.8149016,nan,nan
1701650688.8165438,nan,nan
1701650688.8181438,nan,nan
1701650688.8252504,nan,nan
1701650688.826944,nan,nan
1701650688.828313,nan,nan
1701650688.8299322,nan,nan
1701650688.8325763,nan,nan
1701650688.8380263,nan,nan
1701650688.8393629,nan,nan
1701650688.8401446,nan,nan
1701650688.8409646,nan,nan
1701650688.8427992,nan,nan
1701650688.8461592,nan,nan
1701650688.8468394,nan,nan
1701650688.847871,nan,nan
1701650688.8489203,nan,nan
1701650688.8505664,nan,nan
1701650688.8544004,nan,nan
1701650688.855602,nan,nan
1701650688.8576214,nan,nan
1701650688.8586807,nan,nan
1701650688.8598545,nan,nan
1701650688.8611581,nan,nan
1701650688.8634965,nan,nan
1701650688.865194,nan,nan
1701650688.8661566,nan,nan
1701650688.8692007,nan,nan
1701650688.8709705,nan,nan
1701650688.8724732,nan,nan
1701650688.8738549,nan,nan
1701650688.8745584,nan,nan
1701650688.8783808,nan,nan
1701650688.8795743,nan,nan
1701650688.8842592,nan,nan
1701650688.885394,nan,nan
1701650688.889283,nan,nan
1701650688.8993187,nan,nan
1701650688.902001,nan,nan
1701650688.904657,nan,nan
1701650688.9116924,nan,nan
1701650688.9128623,nan,nan
1701650688.9180152,nan,nan
1701650688.9204917,nan,nan
1701650688.921905,nan,nan
1701650688.923007,nan,nan
1701650688.9243019,nan,nan
1701650688.926396,nan,nan
1701650688.9271188,nan,nan
1701650689.010534,nan,nan
1701650689.010537,nan,nan
1701650689.010538,nan,nan
1701650689.010541,nan,nan
1701650689.0105433,nan,nan
1701650689.010546,nan,nan
1701650689.0105474,nan,nan
1701650689.0105498,nan,nan
1701650689.0105531,nan,nan
1701650689.0105553,nan,nan
1701650689.0105581,nan,nan
1701650689.0105593,nan,nan
1701650689.0105617,nan,nan
1701650689.0105643,nan,nan
1701650689.010567,nan,nan
1701650689.0105696,nan,nan
1701650689.0105722,nan,nan
1701650689.0105748,nan,nan
1701650689.010576,nan,nan
1701650689.0105784,nan,nan
1701650689.0105808,nan,nan
1701650689.0105832,nan,nan
1701650689.0105844,nan,nan
1701650689.0105867,nan,nan
1701650689.0105891,nan,nan
1701650689.0105915,nan,nan
1701650689.0105948,nan,nan
1701650689.0105972,nan,nan
1701650689.0105996,nan,nan
1701650689.0106022,nan,nan
1701650689.0106034,nan,nan
1701650689.010606,nan,nan
1701650689.0106084,nan,nan
1701650689.0106108,nan,nan
1701650689.010612,nan,nan
1701650689.0106144,nan,nan
1701650689.0106168,nan,nan
1701650689.0106192,nan,nan
1701650689.0106204,nan,nan
1701650689.0106242,nan,nan
1701650689.0106266,nan,nan
1701650689.010629,nan,nan
1701650689.0106301,nan,nan
1701650689.0106325,nan,nan
1701650689.0256286,nan,nan
1701650689.0343318,nan,nan
1701650689.034341,nan,nan
1701650689.0381894,nan,nan
1701650689.0381923,nan,nan
1701650689.0406933,nan,nan
1701650689.0406983,nan,nan
1701650689.0407,nan,nan
1701650689.0428386,nan,nan
1701650689.0428402,nan,nan
1701650689.044754,nan,nan
1701650689.0493,nan,nan
1701650689.050919,nan,nan
1701650689.0519407,nan,nan
1701650689.0529678,nan,nan
1701650689.0549116,nan,nan
1701650689.0558639,nan,nan
1701650689.057073,nan,nan
1701650689.0585468,nan,nan
1701650689.0604973,nan,nan
1701650689.062033,nan,nan
1701650689.0706854,nan,nan
1701650689.0715113,nan,nan
1701650689.0728936,nan,nan
1701650689.0738072,nan,nan
1701650689.0744035,nan,nan
1701650689.0757744,nan,nan
1701650689.0767016,nan,nan
1701650689.0813696,nan,nan
1701650689.083679,nan,nan
1701650689.086623,nan,nan
1701650689.088484,nan,nan
1701650689.0905702,nan,nan
1701650689.09275,nan,nan
1701650689.0972009,nan,nan
1701650689.1,nan,nan
1701650689.1023216,nan,nan
1701650689.1035676,nan,nan
1701650689.1046574,nan,nan
1701650689.1052806,nan,nan
1701650689.106429,nan,nan
1701650689.111059,nan,nan
1701650689.1126812,nan,nan
1701650689.1142335,nan,nan
1701650689.1155274,nan,nan
1701650689.116984,nan,nan
1701650689.1188755,nan,nan
1701650689.1202025,nan,nan
1701650689.1215017,nan,nan
1701650689.122927,nan,nan
1701650689.1246517,nan,nan
1701650689.1274383,nan,nan
1701650689.1287813,nan,nan
1701650689.1304674,nan,nan
1701650689.136159,nan,nan
1701650689.1404424,nan,nan
1701650689.1498666,nan,nan
1701650689.1498725,nan,nan
1701650689.1498742,nan,nan
1701650689.1498756,nan,nan
1701650689.1498773,nan,nan
1701650689.1498787,nan,nan
1701650689.14988,nan,nan
1701650689.1519513,nan,nan
1701650689.1529965,nan,nan
1701650689.1550713,nan,nan
1701650689.1618562,nan,nan
1701650689.164275,nan,nan
1701650689.1705036,nan,nan
1701650689.1730802,nan,nan
1701650689.1749055,nan,nan
1701650689.1761873,nan,nan
